Tabel 1;;;;;
Gemiddeld persoonlijk inkomen per inwoner particulier huishouden, het percentage particuliere huishoudens behorende tot de 40% huishoudens met het laagste besteedbaar;;;;;
inkomen van de landelijke inkomensverdeling en het percentage particuliere huishoudens behorende tot de 20% huishoudens met het hoogste besteedbaar inkomen van de ;;;;;
landelijke inkomensverdeling naar gemeente en wijk, 2020;;;;;
;;;Gemiddeld;40% huishoudens;20% huishoudens
;;;persoonlijk ;met laagste;met hoogste
;;;inkomen;besteedbaar;besteedbaar
;;;per inwoner;inkomen;inkomen
Gemeentelijke indeling van 2023;;;;;
Gemeentecode;Wijkcode;Regionaam;;;
;;;;;
;;;x 1000 euro;%;
;;;;;
GM0175;Totaal;Ommen;25,8;32,3;21,4
;WK017501;Ommen;26,0;34,8;18,8
;WK017502;Arrien;27,9;16,5;38,0
;WK017503;Beerze;26,4;.;.
;WK017504;Beerzerveld;22,5;24,0;24,3
;WK017505;Dalmsholte;24,4;17,1;38,5
;WK017506;Giethmen;29,6;.;.
;WK017507;Lemele;25,2;26,6;28,8
;WK017508;Stegeren;27,1;37,4;21,0
;WK017509;Vilsteren;23,7;26,1;21,1
;WK017510;Vinkenbuurt;28,0;29,4;37,4
;WK017511;Witharen;26,0;24,2;27,5
GM0177;Totaal;Raalte;25,9;32,4;21,6
;WK017701;Raalte;25,5;35,5;18,6
;WK017702;Luttenberg;25,7;28,3;26,5
;WK017703;Mariënheem;25,9;25,0;27,4
;WK017704;Nieuw Heeten;25,0;30,0;25,8
;WK017705;Heeten;25,8;30,1;25,8
;WK017706;Broekland;28,3;22,8;32,4
;WK017707;Heino;26,5;30,4;21,3
;WK017708;Lierderholthuis;28,0;25,7;29,0
;WK017709;Laag Zuthem;29,2;20,4;37,0
GM0180;Totaal;Staphorst;22,7;27,0;25,8
;WK018000;Wijk 00 Staphorst (kern);21,8;29,4;23,6
;WK018001;Wijk 01 Rouveen (kern);22,6;21,4;27,8
;WK018002;Wijk 02 Rouveen (buitengebied);22,6;19,7;42,6
;WK018003;Wijk 03 Staphorst (buitengebied);22,0;18,4;36,1
;WK018004;Wijk 04 IJhorst;27,7;33,1;21,7
;WK018005;Wijk 05 Punthorst;24,3;21,8;31,0
;WK018006;Wijk 06 Lankhorst;24,6;20,3;28,0
;WK018007;Wijk 07 Klooster;.;.;.
GM0183;Totaal;Tubbergen;25,7;29,4;28,7
;WK018300;Wijk 00 Tubbergen;25,8;34,9;25,6
;WK018301;Wijk 01 Albergen;26,1;25,2;30,3
;WK018302;Wijk 02 Harbrinkhoek;26,5;23,6;30,5
;WK018303;Wijk 03 Geesteren;25,3;28,9;29,1
;WK018304;Wijk 04 Langeveen;23,7;29,7;28,2
;WK018305;Wijk 05 Vasse;25,4;27,2;31,5
;WK018306;Wijk 06 Reutum;26,1;29,3;28,9
;WK018307;Wijk 07 Fleringen;25,5;21,4;37,9
GM0184;Totaal;Urk;21,1;23,5;27,7
;WK018400;Wijk 00 Urk;21,1;23,4;27,7
GM0189;Totaal;Wierden;26,7;27,8;26,8
;WK018900;Wijk 00 Wierden (kern);26,2;30,2;22,2
;WK018901;Wijk 01 Landelijk gebied Wierden;31,3;19,5;43,2
;WK018902;Wijk 02 Hooge-Hexel;25,1;25,7;34,7
;WK018903;Wijk 03 Enter (kern);26,4;28,0;26,7
;WK018904;Wijk 04 Landelijk gebied Enter;27,0;19,3;40,5
;WK018905;Wijk 05 Rectum - Notter - Zuna;27,9;18,4;43,0
GM0193;Totaal;Zwolle;27,3;41,9;18,7
;WK019310;Wijk 10 Binnenstad;35,9;53,1;14,3
;WK019311;Wijk 11 Diezerpoort;24,3;65,3;6,5
;WK019312;Wijk 12 Wipstrik;30,8;41,4;21,9
;WK019313;Wijk 13 Assendorp;28,4;52,0;14,4
;WK019314;Wijk 14 Kamperpoort-Veerallee;29,7;57,0;18,8
;WK019320;Wijk 20 Poort van Zwolle;29,6;36,1;28,9
;WK019321;Wijk 21 Westenholte;24,9;31,9;20,1
;WK019322;Wijk 22 Stadshagen;27,4;22,7;29,0
;WK019330;Wijk 30 Holtenbroek;21,5;59,8;6,7
;WK019331;Wijk 31 Aa-landen;24,8;43,6;13,3
;WK019332;Wijk 32 Vechtlanden;40,4;16,2;48,4
;WK019340;Wijk 40 Berkum;29,4;33,4;26,8
;WK019341;Wijk 41 Marsweteringlanden;28,4;29,8;30,3
;WK019350;Wijk 50 Schelle;30,3;27,4;28,7
;WK019351;Wijk 51 Ittersum;26,6;33,8;19,5
;WK019352;Wijk 52 Soestweteringlanden;28,0;20,3;32,2
GM0197;Totaal;Aalten;24,4;35,2;16,9
;WK019701;Wijk 01 Buitengebied Aalten;25,3;26,0;29,8
;WK019702;Wijk 02 Bredevoort;24,8;32,6;16,7
;WK019703;Wijk 03 Aalten Kern;24,4;35,6;15,1
;WK019704;Wijk 04 Dinxperlo;23,9;38,9;14,3
GM0200;Totaal;Apeldoorn;27,6;37,7;19,8
;WK020001;Centrum;29,4;57,5;8,1
;WK020002;West;30,9;37,5;22,6
;WK020003;Zuidwest;28,5;31,3;22,2
;WK020004;Zuid;23,7;49,9;11,0
;WK020005;Zuidoost;24,6;36,5;14,4
;WK020006;Oost;30,0;24,2;29,7
;WK020007;Noordoost;24,6;37,5;18,2
;WK020008;Noord;31,1;37,9;22,5
;WK020010;Uddel en omgeving;25,8;27,2;35,1
;WK020011;Hoog Soeren en Radio Kootwijk;39,2;20,1;34,8
;WK020012;Hoenderloo en omgeving;31,5;37,0;25,8
;WK020013;Loenen en omgeving;29,7;34,3;24,2
;WK020014;Beekbergen en omgeving;30,5;40,1;23,8
;WK020015;Lieren en omgeving;29,0;21,2;35,0
;WK020016;Klarenbeek en omgeving;28,4;27,9;31,5
;WK020017;Wenum Wiesel Beemte;30,4;26,4;37,5
GM0202;Totaal;Arnhem;26,3;51,0;14,3
;WK020201;Centrum;28,8;67,4;6,5
;WK020202;Spijkerkwartier;27,9;70,8;7,2
;WK020203;Arnhemse Broek;21,1;66,9;6,1
;WK020204;Presikhaaf-West;18,7;66,1;5,5
;WK020205;Presikhaaf-Oost;21,9;62,2;4,8
;WK020206;St. Marten/Sonsbeek;31,0;48,7;16,2
;WK020207;Klarendal;24,2;63,5;7,0
;WK020208;Velperweg e.o.;33,8;36,0;26,9
;WK020209;Alteveer/Cranevelt;32,4;36,8;25,5
;WK020210;Geitenkamp;19,3;72,9;3,3
;WK020211;Monnikenhuizen;29,1;45,0;20,1
;WK020212;Burgemeesterswijk/Hoogkamp;40,7;32,2;35,6
;WK020213;Schaarsbergen;33,4;39,8;30,6
;WK020214;Heijenoord/Lombok;31,2;44,5;18,8
;WK020215;Klingelbeek e.o.;38,5;22,1;35,5
;WK020216;Malburgen-West;23,2;51,1;11,1
;WK020217;Malburgen-Oost (Noord);23,0;50,6;10,9
;WK020218;Malburgen-Oost (Zuid);17,3;66,3;5,0
;WK020219;Vredenburg/Kronenburg;24,1;59,7;8,3
;WK020220;Elden;27,8;35,1;24,7
;WK020221;Elderveld;23,2;47,1;11,1
;WK020222;De Laar;24,8;39,1;12,7
;WK020223;Rijkerswoerd;26,4;35,2;20,3
;WK020224;Schuytgraaf;29,1;22,0;33,5
GM0203;Totaal;Barneveld;25,4;30,2;25,7
;WK020354;Wijk 54 Barneveld;24,4;32,2;22,4
;WK020355;Wijk 55 Voorthuizen;26,9;29,8;26,1
;WK020356;Wijk 56 Kootwijkerbroek;24,3;24,2;37,5
;WK020357;Wijk 57 Garderen;29,3;24,7;33,5
;WK020358;Wijk 58 Terschuur;27,8;27,6;33,8
;WK020359;Wijk 59 Stroe;26,0;21,9;33,6
;WK020360;Wijk 60 Zwartebroek;28,0;22,4;30,9
;WK020361;Wijk 61 De Glind;25,9;33,7;33,7
;WK020362;Wijk 62 Kootwijk;36,6;24,4;37,4
;WK020363;Wijk 63 Achterveld;33,4;.;.
GM0209;Totaal;Beuningen;28,7;31,2;24,0
;WK020901;Beuningen;29,3;31,0;24,6
;WK020902;Ewijk;27,6;32,1;23,3
;WK020903;Weurt;26,6;30,6;19,6
;WK020904;Winssen;28,6;32,8;26,0
GM0213;Totaal;Brummen;27,4;33,2;20,9
;WK021301;Wijk 01 Empe;30,8;17,6;35,5
;WK021302;Wijk 02 Tonden;31,1;18,9;39,4
;WK021303;Wijk 03 Brummen;26,7;37,1;19,1
;WK021304;Wijk 04 Leuvenheim;28,8;22,8;27,5
;WK021305;Wijk 05 Hall;30,4;23,3;33,7
;WK021306;Wijk 06 Eerbeek;27,3;32,7;19,6
GM0214;Totaal;Buren;29,2;28,2;27,5
;WK021400;Wijk 00 Buren;31,0;26,6;28,2
;WK021401;Wijk 01 Beusichem;31,7;23,5;31,5
;WK021402;Wijk 02 Zoelen;30,1;24,9;31,0
;WK021403;Wijk 03 Lienden;27,4;28,5;26,2
;WK021404;Wijk 04 Ingen;28,3;31,4;23,4
;WK021405;Wijk 05 Maurik;28,0;32,3;24,6
;WK021406;Wijk 06 Ravenswaaij;31,8;25,6;40,2
GM0216;Totaal;Culemborg;28,4;33,5;22,7
;WK021600;Culemborg Oost;27,1;37,5;18,2
;WK021601;Culemborg West;30,2;27,2;29,7
GM0221;Totaal;Doesburg;25,5;42,3;14,6
;WK022101;Wijk 01;25,5;42,3;14,6
GM0222;Totaal;Doetinchem;25,8;39,1;17,7
;WK022201;Wijk 01 Doetinchem Centrum;29,2;51,1;14,7
;WK022202;Wijk 02;22,1;59,8;7,5
;WK022203;Wijk 03;24,8;39,5;15,2
;WK022204;Wijk 04;27,5;30,9;24,1
;WK022205;Wijk 05;29,7;43,6;13,4
;WK022206;Wijk 06;26,2;31,3;18,5
;WK022207;Wijk 07;27,3;27,7;24,0
;WK022208;Wijk 08;31,2;26,0;26,0
;WK022209;Wijk 09;23,6;44,4;16,4
;WK022211;Wijk 11 Buitengebied Doetinchem;24,9;37,1;16,8
;WK022231;Wijk 31 Wehl;26,2;31,6;22,7
GM0225;Totaal;Druten;27,2;32,9;22,2
;WK022500;Druten;27,0;33,7;20,8
;WK022501;Puiflijk;29,0;25,6;29,3
;WK022502;Afferden;26,6;31,1;27,2
;WK022503;Deest;25,3;40,0;15,4
;WK022504;Horssen;29,7;25,9;31,4
GM0226;Totaal;Duiven;27,7;31,6;23,5
;WK022601;Wijk 01 Bedrijventerrein;.;.;.
;WK022602;Wijk 02 Buitengebied;27,9;.;.
;WK022603;Wijk 03 Duiven-Noord;26,4;33,4;20,1
;WK022604;Wijk 04 Duiven-Zuid;29,2;31,9;25,5
;WK022605;Wijk 05 Groessen;29,7;21,9;35,7
;WK022606;Wijk 06 Loo;29,9;22,1;33,1
GM0228;Totaal;Ede;26,8;33,9;22,3
;WK022801;Ede-Oost;31,0;43,2;17,4
;WK022802;Ede-West;26,2;40,5;16,5
;WK022803;Ede-Veldhuizen;23,4;39,7;13,0
;WK022804;Kernhem;26,8;14,3;33,4
;WK022805;Veluwse Poort;33,0;18,6;35,3
;WK022810;Ede-Zuid;24,3;45,7;16,5
;WK022811;Maandereng;24,1;31,5;15,6
;WK022812;Rietkampen;27,6;20,9;25,8
;WK022813;Bedrijventerrein;23,3;41,8;26,4
;WK022820;Buitengebied Ede-Stad;29,0;28,5;41,1
;WK022830;Bennekom;30,3;28,8;27,3
;WK022840;Lunteren;27,1;27,9;31,5
;WK022850;Ederveen;24,3;25,7;33,3
;WK022860;De Klomp;27,9;35,9;28,6
;WK022870;Harskamp;24,9;25,4;32,8
;WK022880;Wekerom;24,2;29,5;27,4
;WK022890;Otterlo;28,4;26,6;32,0
GM0230;Totaal;Elburg;24,6;31,8;21,0
;WK023001;Wijk 01 Elburg;24,6;32,9;19,7
;WK023002;Wijk 02 't Harde;24,6;31,3;19,0
;WK023003;Wijk 03 Doornspijk;24,8;29,4;28,7
GM0232;Totaal;Epe;26,6;34,8;20,7
;WK023200;Wijk 00 Epe;27,9;36,0;20,2
;WK023201;Wijk 01 Emst;27,0;26,4;28,9
;WK023202;Wijk 02 Vaassen;25,1;35,9;18,8
;WK023203;Wijk 03 Oene;25,6;27,4;27,9
GM0233;Totaal;Ermelo;27,9;33,7;22,5
;WK023300;Schil rondom het centrum;27,5;32,7;21,7
;WK023301;Centrum Ermelo;29,2;40,3;17,0
;WK023302;Tonsel en Veldzicht;28,4;36,5;24,1
;WK023303;Buitengebied west;28,2;34,1;27,8
;WK023304;Buitengebied midden;33,2;.;.
;WK023305;Buitengebied oost;29,5;28,8;38,5
GM0243;Totaal;Harderwijk;26,6;34,7;21,0
;WK024301;Binnenstad;32,7;46,7;16,5
;WK024302;Waterfront;34,8;12,9;42,1
;WK024303;Zeebuurt;23,5;42,4;13,9
;WK024304;Friesegracht;31,0;34,7;22,3
;WK024305;Stadsdennen;22,0;43,8;12,8
;WK024306;De Sypel;27,1;22,6;22,9
;WK024307;Stationsomgeving;25,5;71,1;11,8
;WK024308;Stadsweiden;25,1;40,8;15,4
;WK024309;Slingerbos;30,0;16,2;27,1
;WK024310;Tweelingstad;22,9;40,5;15,7
;WK024311;Frankrijk;27,4;27,6;27,9
;WK024312;Drielanden;28,4;20,2;30,2
;WK024313;Industrieterrein Lorentz;.;.;.
;WK024314;Buitengebied Harderwijk;30,8;47,7;14,6
;WK024315;Hierden;28,9;30,6;30,4
GM0244;Totaal;Hattem;28,1;30,8;23,6
;WK024400;Wijk 00 Hattem;27,7;31,6;22,2
;WK024401;Wijk 01 Polder Hattem en Molecaten;32,5;18,5;45,4
GM0246;Totaal;Heerde;26,4;29,6;22,2
;WK024600;Wijk 00 Heerde;27,3;29,5;22,6
;WK024601;Wijk 01 Wapenveld;24,7;29,9;21,2
GM0252;Totaal;Heumen;30,7;30,0;27,5
;WK025200;Wijk 00 Heumen;31,1;30,7;27,1
;WK025201;Wijk 01 Overasselt;29,5;27,1;29,2
GM0262;Totaal;Lochem;29,4;31,9;24,3
;WK026200;Wijk 00 Lochem kern;27,7;36,4;18,6
;WK026201;Wijk 01 Lochem buitengebied;31,0;31,1;32,5
;WK026202;Wijk 02 Laren;27,6;28,1;28,3
;WK026203;Wijk 03 Barchem;27,8;27,1;27,0
;WK026204;Wijk 04 Gorssel;32,2;29,8;27,2
;WK026205;Wijk 01 Almen-Harfsen;28,8;29,1;27,7
GM0263;Totaal;Maasdriel;28,1;33,1;26,1
;WK026300;Wijk 00 Kerkdriel;27,3;34,6;25,5
;WK026301;Wijk 01 Ammerzoden;28,1;33,7;26,1
;WK026302;Wijk 02 Hedel;28,8;30,0;27,3
;WK026303;Wijk 03 Heerewaarden;27,3;36,4;19,9
;WK026304;Wijk 04 Rossum;30,0;31,0;28,9
GM0267;Totaal;Nijkerk;27,3;29,7;25,6
;WK026701;Nijkerk-stad;25,9;32,4;22,3
;WK026702;Appel, Driedorp, Kruishaar, Prinsenkamp;31,5;27,6;41,4
;WK026703;Nijkerkerveen en Holkerveen;27,7;27,5;28,5
;WK026704;Arkemheen, Achterhoek, De Veenhuis;29,6;19,6;44,9
;WK026705;Hoevelaken;30,1;23,5;30,5
GM0268;Totaal;Nijmegen;26,6;54,9;14,0
;WK026801;Nijmegen-Centrum;27,2;70,5;5,3
;WK026802;Nijmegen-Oost;30,8;60,6;15,3
;WK026803;Nijmegen-Oud-West;25,5;58,1;11,2
;WK026804;Nijmegen-Nieuw-West;24,6;58,1;12,1
;WK026805;Nijmegen-Midden;28,5;53,0;17,6
;WK026806;Nijmegen-Zuid;24,4;59,3;10,5
;WK026807;Dukenburg;22,7;54,7;8,6
;WK026808;Lindenholt;24,2;38,9;13,8
;WK026809;Nijmegen-Noord;29,1;23,6;34,8
GM0269;Totaal;Oldebroek;24,1;32,2;21,4
;WK026900;Wijk 00 Oldebroek;23,2;32,3;21,4
;WK026901;Wijk 01 Wezep;24,8;33,5;20,0
;WK026902;Wijk 02 Oosterwolde;22,9;23,1;31,6
GM0273;Totaal;Putten;26,9;30,7;25,6
;WK027300;Wijk 00 Putten;26,6;30,9;24,9
;WK027301;Wijk 01 Bosgebied en Krachtighuizen;30,9;27,6;33,5
GM0274;Totaal;Renkum;31,7;35,5;22,7
;WK027401;Renkum Zuid;27,8;36,1;20,7
;WK027402;Renkum Noord;26,6;34,4;18,1
;WK027403;Heelsum ten westen van de rijksweg;29,4;44,7;16,4
;WK027404;Heelsum ten oosten van de rijksweg;57,3;.;.
;WK027405;Wolfheze ten zuiden van het spoor;35,3;32,9;30,0
;WK027406;Wolfheze ten noorden van het spoor;36,5;30,1;29,3
;WK027407;Buitengebied Doorwerth;46,6;12,7;45,2
;WK027408;Bebouwde kom Doorwerth;28,5;44,9;12,2
;WK027409;Heveadorp;35,6;25,7;29,2
;WK027410;Oosterbeek West;44,5;32,4;27,5
;WK027411;Oosterbeek Zuidoost;34,7;30,5;29,1
;WK027412;Oosterbeek Noordoost;34,7;30,8;29,5
GM0275;Totaal;Rheden;27,3;43,4;16,6
;WK027500;Wijk 00 Dieren;26,5;39,3;15,7
;WK027501;Wijk 01 Rheden;26,5;39,3;16,9
;WK027502;Wijk 02 Velp;28,5;48,8;17,2
GM0277;Totaal;Rozendaal;40,9;12,7;49,9
;WK027700;Wijk 00;40,9;12,7;49,9
GM0279;Totaal;Scherpenzeel;26,2;28,6;24,3
;WK027900;Wijk 00;26,2;28,6;24,3
GM0281;Totaal;Tiel;25,8;40,8;17,6
;WK028100;Tiel kern;23,2;51,6;10,3
;WK028101;Tiel-Noord;26,9;38,0;19,4
;WK028102;Wadenoijen en Kapel Avezaath;28,7;26,5;31,1
;WK028103;Tiel-Zuid;29,2;18,9;31,9
GM0285;Totaal;Voorst;27,9;31,1;25,0
;WK028500;Wijk 00 Voorst;27,5;31,3;23,2
;WK028501;Wijk 01 Twello-Nijbroek;27,9;32,5;23,8
;WK028502;Wijk 02 Klarenbeek-Teuge;28,0;25,2;31,7
;WK028503;Wijk 03 Wilp;28,4;27,4;28,4
GM0289;Totaal;Wageningen;25,3;57,6;14,0
;WK028901;Noordwest;29,3;32,3;28,5
;WK028902;Wageningen Universiteit;8,3;98,4;0,2
;WK028903;De Weiden en Boomgaarden;29,5;33,7;20,9
;WK028904;De Horsten;24,9;41,3;16,0
;WK028905;Kortenoord;18,8;71,9;10,0
;WK028906;De Buurt;21,2;67,1;6,0
;WK028907;Boven- en Benedenbuurt;25,1;54,2;12,7
;WK028908;Nude;22,8;64,8;4,7
;WK028909;Centrum;23,6;71,7;8,3
;WK028910;Veluvia-Hamelakkers;33,5;41,5;25,7
;WK028911;Wageningen-Hoog;49,4;9,9;56,5
;WK028912;Buitengebied;32,8;37,6;33,8
GM0293;Totaal;Westervoort;26,2;35,6;17,3
;WK029300;Wijk 00;26,2;35,6;17,3
GM0294;Totaal;Winterswijk;24,7;38,8;15,9
;WK029400;Wijk 00 Stad;24,0;41,6;13,1
;WK029401;Wijk 01 Land;27,2;26,9;28,0
GM0296;Totaal;Wijchen;27,7;33,2;22,9
;WK029600;Wijk 00 Wijchen buitengebied;29,4;.;.
;WK029601;Wijk 01 Wijchen kern;27,4;34,0;21,6
;WK029602;Wijk 02 Balgoij;29,9;17,7;39,5
;WK029603;Wijk 03 Batenburg;26,2;27,9;26,5
;WK029604;Wijk 04 Bergharen;28,7;24,4;30,6
;WK029605;Wijk 05 Hernen;29,2;20,1;28,9
;WK029606;Wijk 06 Leur;30,4;.;.
;WK029607;Wijk 07 Niftrik;28,8;26,0;32,0
;WK029608;Wijk 08 Alverna;28,5;40,0;24,0
GM0297;Totaal;Zaltbommel;27,0;32,7;23,6
;WK029700;Wijk 00 Zaltbommel;28,5;35,3;21,8
;WK029701;Wijk 01 Brakel;25,1;32,0;22,7
;WK029702;Wijk 02 Kerkwijk;27,2;28,8;27,3
;WK029703;Wijk 03 Nederhemert;25,3;27,7;31,8
GM0299;Totaal;Zevenaar;25,8;38,1;16,1
;WK029900;Zevenaar;25,7;39,2;14,3
;WK029901;Babberich;26,1;37,6;19,6
;WK029902;Angerlo;29,0;29,2;24,2
;WK029903;Giesbeek;28,7;32,0;21,2
;WK029904;Lathum;30,1;31,1;30,2
;WK029905;Rijnstrangen;.;.;.
;WK029906;Pannerden;25,3;33,8;19,8
;WK029907;Aerdt;26,0;28,1;25,7
;WK029908;Herwen;26,5;32,3;22,2
;WK029909;Lobith;22,3;49,1;10,3
;WK029910;Tolkamer;26,1;36,5;16,1
;WK029911;Spijk;22,5;43,4;11,6
GM0301;Totaal;Zutphen;25,9;42,2;15,8
;WK030100;Wijk 00 Centrum - De Hoven;28,4;50,3;13,9
;WK030101;Wijk 01 Waterkwartier;21,6;57,7;7,9
;WK030102;Wijk 02 Noordveen;24,8;42,7;15,1
;WK030103;Wijk 03 Zuidwijken;23,8;41,9;12,1
;WK030104;Wijk 04 Leesten;28,3;20,3;27,8
;WK030105;Wijk 05 Warnsveld;28,4;29,4;22,3
GM0302;Totaal;Nunspeet;25,4;32,4;22,5
;WK030200;Wijk 00 Nunspeet;25,4;33,4;21,0
;WK030201;Wijk 01 Elspeet-Vierhouten;25,4;26,9;29,7
GM0303;Totaal;Dronten;26,5;33,7;20,7
;WK030301;Wijk 01 Dronten west;28,8;21,1;32,0
;WK030302;Wijk 02 Dronten Noord;20,1;46,8;12,0
;WK030303;Wijk 03 Dronten Midden;23,1;52,2;9,2
;WK030304;Wijk 04 Dronten Zuid;28,8;24,5;23,2
;WK030305;Wijk 05 Buitengebied Dronten;29,9;33,1;31,5
;WK030306;Wijk 06 Biddinghuizen;25,1;38,2;17,1
;WK030307;Wijk 07 Swifterbant;25,5;32,0;19,5
GM0307;Totaal;Amersfoort;30,2;35,1;25,2
;WK030701;Stadskern;34,6;52,0;13,9
;WK030702;Nederberg;35,7;57,5;13,1
;WK030703;Soesterkwartier;27,1;44,5;16,3
;WK030704;Eemkwartier;41,5;.;.
;WK030705;Isselt;20,6;.;.
;WK030706;De Koppel;27,0;47,1;14,5
;WK030707;Kruiskamp;24,1;48,3;13,8
;WK030708;Schothorst-Zuid;26,2;46,8;14,9
;WK030709;Schothorst-Noord;27,8;35,5;18,2
;WK030710;Liendert;22,2;49,9;9,1
;WK030711;Rustenburg;26,2;30,9;21,4
;WK030712;Buitengebied-Oost;31,8;26,8;40,8
;WK030713;Schuilenburg;24,3;44,6;12,9
;WK030714;Randenbroek;27,9;47,3;15,9
;WK030715;Vermeerkwartier;33,1;39,9;28,8
;WK030716;Leusderkwartier;32,9;35,8;28,6
;WK030717;De Berg-Zuid;34,6;39,0;29,3
;WK030718;De Berg-Noord;50,4;13,1;55,4
;WK030719;Hoogland;30,8;22,8;28,6
;WK030720;Zielhorst;29,5;27,8;28,2
;WK030721;Kattenbroek;31,1;28,4;28,9
;WK030722;Calveen;34,7;.;.
;WK030724;Nieuwland;30,8;19,7;34,5
;WK030725;De Hoef;27,1;77,5;1,6
;WK030726;Hooglanderveen;32,0;21,1;42,9
;WK030727;Hoogland-West;35,8;23,3;45,0
;WK030728;Vathorst-De Velden;32,1;17,6;44,0
;WK030729;Vathorst-Centrum;31,8;15,7;40,7
;WK030730;Vathorst-De Bron;30,5;13,9;40,2
;WK030731;Vathorst-De Laak;31,5;24,7;37,5
;WK030732;Vathorst-Bovenduist;.;.;.
;WK030733;Bedrijventerrein Vathorst;.;.;.
;WK030734;Bosgebied;38,6;50,0;27,4
GM0308;Totaal;Baarn;32,8;34,3;25,7
;WK030800;Wijk 00 Baarn;34,0;35,5;25,8
;WK030801;Wijk 01 Baarn-Noord, Eemdal en Eemland;28,3;35,6;21,5
;WK030802;Wijk 02 P.H.W.park;51,5;16,7;48,5
;WK030804;Wijk 04 Buitengebied;37,9;33,6;38,1
;WK030805;Wijk 05 Lage Vuursche;34,5;32,7;34,5
GM0310;Totaal;De Bilt;34,7;33,3;30,2
;WK031001;Westbroek;30,6;23,6;35,9
;WK031002;Hollandsche Rading;37,9;23,7;37,6
;WK031003;Maartensdijk;27,2;33,8;24,1
;WK031004;Groenekan;36,7;19,7;47,8
;WK031005;De Leijen;29,6;38,3;20,2
;WK031006;Bilthoven Noord;56,9;14,5;60,6
;WK031007;Bilthoven Zuid Oost;40,8;29,5;33,3
;WK031008;Bilthoven Zuid West;28,8;44,3;21,8
;WK031009;De Bilt West;33,1;32,2;30,2
;WK031010;De Bilt Oost;29,8;40,0;21,1
GM0312;Totaal;Bunnik;32,7;25,4;33,3
;WK031200;Wijk 00 Bunnik;33,2;26,6;34,3
;WK031201;Wijk 01 Odijk;33,0;24,3;31,8
;WK031202;Wijk 02 Werkhoven;30,7;24,2;34,3
GM0313;Totaal;Bunschoten;26,5;26,8;27,6
;WK031300;Wijk 00;26,5;26,8;27,6
GM0317;Totaal;Eemnes;30,6;28,0;28,3
;WK031702;Eemnes;30,6;28,0;28,3
GM0321;Totaal;Houten;32,0;26,1;33,8
;WK032110;Houten Noord-West;32,5;26,3;33,0
;WK032111;Houten Noord-Oost;28,6;39,1;21,0
;WK032112;Houten Zuid-West;32,4;19,6;38,6
;WK032113;Houten Zuid-Oost;34,4;16,5;45,6
;WK032120;Houten Buitengebied;34,8;30,3;34,8
;WK032130;'t Goy;31,2;28,9;34,0
;WK032131;'t Goy Buitengebied;31,7;.;.
;WK032140;Tull en 't Waal;35,1;17,5;37,1
;WK032141;Tull en 't Waal Buitengebied;.;.;.
;WK032150;Schalkwijk;29,6;28,4;29,9
;WK032151;Schalkwijk Buitengebied;31,6;22,3;45,2
GM0327;Totaal;Leusden;31,2;26,5;27,9
;WK032700;Wijk 00 Leusden-Centrum Oost;30,6;27,0;22,8
;WK032701;Wijk 01 Leusden-Centrum West;30,5;26,2;26,3
;WK032702;Wijk 02 Leusden-Zuid;34,7;17,8;42,8
;WK032703;Wijk 03 Achterveld;29,8;31,4;29,5
;WK032704;Wijk 04 Stoutenburg;31,9;23,0;42,4
;WK032705;Wijk 05 't Ruige Veld;30,5;33,8;24,1
GM0331;Totaal;Lopik;27,4;27,9;29,9
;WK033100;Wijk 00 Lopik, Benschop en Polsbroek;27,4;27,9;29,9
GM0335;Totaal;Montfoort;29,4;26,6;29,8
;WK033500;Wijk 00;28,5;29,5;26,3
;WK033501;Wijk 01 Linschoten;30,2;22,2;34,3
;WK033502;Wijk 02 Willeskop;32,4;22,6;42,4
GM0339;Totaal;Renswoude;27,5;24,0;29,3
;WK033900;Wijk 00;27,5;24,0;29,3
GM0340;Totaal;Rhenen;27,3;33,1;23,9
;WK034000;Wijk 00 Rhenen;28,3;51,5;12,4
;WK034001;Wijk 01 Rhenen Oost;30,3;26,9;28,7
;WK034002;Wijk 02 Rhenen West;25,8;36,8;17,2
;WK034003;Wijk 03 Rhenen Noord;24,7;43,2;16,4
;WK034004;Wijk 04 Grebbeberg;.;.;.
;WK034005;Wijk 05 Randzone;31,7;19,2;34,1
;WK034006;Wijk 06 Binnenveld;23,0;33,8;38,1
;WK034007;Wijk 07 Achterberg;25,1;20,2;32,9
;WK034008;Wijk 08 Uiterwaarden Rhenen;33,5;.;.
;WK034009;Wijk 09 Remmerden;.;.;.
;WK034010;Wijk 10 Heuvelrug Rhenen;.;.;.
;WK034011;Wijk 11 Heuvelrug Elst;.;.;.
;WK034012;Wijk 12 Uiterwaarden Elst;.;.;.
;WK034013;Wijk 13 Elst;27,2;28,3;26,7
GM0342;Totaal;Soest;31,0;32,6;26,4
;WK034201;Wijk 01 't Hart-Soestdijk;34,7;28,2;31,5
;WK034202;Wijk 02 Klaarwater;25,6;46,9;11,7
;WK034203;Wijk 03 Boerenstreek;31,6;18,1;38,2
;WK034204;Wijk 04 de Eng-Soest-Midden;29,8;40,0;22,8
;WK034205;Wijk 05 Smitsveen;24,2;43,9;15,2
;WK034206;Wijk 06 Overhees;29,7;30,6;25,4
;WK034207;Wijk 07 Soest-Zuid;37,8;19,8;41,1
